Age,Gender,Dependent,Education_Level,Income,Months_on_book,Total_Relationship_Count,Credit Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Change in Transaction Count,Avg Utilization Ratio
46,M,2,Uneducated,$80K - $120K,38,4,11434,0,11434,0.84,4520,83,0.844,0
42,M,3,Graduate,$40K - $60K,34,3,1640,1444,196,0.423,1360,33,0.222,0.88
42,M,4,College,$60K - $80K,35,3,2516,1360,1156,1.193,4692,79,0.681,0.541
50,F,3,College,Less than $40K,32,5,4419,1218,3201,0.879,4535,75,0.562,0.276
44,F,2,High School,Less than $40K,29,6,2288,1505,783,0.788,4396,68,0.659,0.658
46,F,2,Uneducated,Unknown,40,3,6083,1716,4367,0.618,4528,86,0.755,0.282
46,M,2,College,$80K - $120K,38,2,10309,0,10309,0.451,1760,40,0.6,0
56,F,2,High School,$40K - $60K,36,4,13904,625,13279,0.673,3151,67,0.595,0.045
48,M,3,College,Less than $40K,37,4,3305,2517,788,0.766,2027,57,1.036,0.762
46,F,4,Graduate,Unknown,42,4,13376,1633,11743,0.98,4515,63,1.172,0.122
45,F,4,Graduate,Less than $40K,33,2,3001,2055,946,0.838,4662,70,0.628,0.685
57,M,2,Graduate,$120K +,51,6,34516,1417,33099,0.966,4303,77,0.638,0.041
41,M,2,Graduate,$60K - $80K,36,3,2238,0,2238,0.452,2063,42,0.5,0
56,F,1,Uneducated,Less than $40K,36,6,5991,1993,3998,0.673,1867,53,0.767,0.333
49,M,2,High School,$80K - $120K,40,4,13490,1672,11818,0.799,4205,75,0.415,0.124
40,F,1,High School,Unknown,31,3,15970,1212,14758,0.542,1260,32,0.524,0.076
57,M,2,Uneducated,$80K - $120K,36,5,4316,0,4316,0.363,1920,53,0.472,0
51,F,2,Graduate,Less than $40K,36,4,4970,1591,3379,0.738,5023,78,0.733,0.32
30,M,1,High School,$60K - $80K,17,3,7906,1631,6275,0.889,1946,45,0.552,0.206
65,F,1,College,Less than $40K,54,3,2888,1134,1754,1.479,2489,54,0.742,0.393
45,F,2,High School,Unknown,34,4,3024,1835,1189,0.793,14220,108,0.662,0.607
38,M,2,College,$80K - $120K,36,3,6452,1151,5301,0.884,4835,84,0.714,0.178
36,M,4,Graduate,$80K - $120K,36,5,10216,1822,8394,0.778,2568,69,0.683,0.178
31,M,1,Post-Graduate,Less than $40K,36,6,12359,0,12359,0.843,7528,70,0.628,0
43,M,3,Graduate,$80K - $120K,36,4,5506,2129,3377,0.705,4024,62,0.55,0.387
33,M,3,High School,$40K - $60K,23,1,6392,1429,4963,0.682,4069,66,0.737,0.224
60,M,1,Graduate,$120K +,46,6,5130,2048,3082,0.776,4601,88,0.76,0.399
47,M,5,High School,Less than $40K,35,4,4165,0,4165,0.813,17093,111,0.82,0
58,F,1,Post-Graduate,Less than $40K,36,6,1438.3,0,1438.3,0.657,4722,89,0.745,0
47,F,3,Uneducated,Less than $40K,27,5,14335,938,13397,0.445,3610,75,0.531,0.065
60,F,1,Uneducated,$40K - $60K,50,4,1438.3,1025,413.3,0.838,702,12,0.714,0.713
45,F,3,High School,$40K - $60K,37,4,3304,0,3304,0.532,1731,32,0.28,0
39,M,2,Graduate,$40K - $60K,31,5,8687,1146,7541,1.8,2279,33,1.357,0.132
52,F,1,Graduate,Unknown,35,3,13169,1499,11670,0.603,4370,83,0.537,0.114
49,M,4,Unknown,$120K +,38,3,34516,2517,31999,0.7,2376,55,0.486,0.073
50,M,2,Uneducated,$80K - $120K,42,3,1645,0,1645,0.771,3838,60,0.463,0
47,M,2,Graduate,$120K +,41,3,10614,784,9830,0.73,4601,77,0.638,0.074
47,M,4,Uneducated,$80K - $120K,30,5,17682,2481,15201,1.302,1747,31,1.214,0.14
51,F,4,Unknown,Less than $40K,43,6,3124,2517,607,0.635,4716,68,0.581,0.806
53,M,4,Graduate,$80K - $120K,36,3,3924,2517,1407,0.511,1417,30,0.667,0.641
42,M,3,Graduate,$40K - $60K,36,3,23981,1399,22582,0.712,14840,125,0.761,0.058
42,M,3,High School,Less than $40K,31,4,7802,1885,5917,0.643,4212,75,0.744,0.242
57,M,2,College,$40K - $60K,50,2,6462,0,6462,0.856,761,17,0.214,0
53,M,1,Graduate,$60K - $80K,45,6,3380,1701,1679,0.747,1502,25,1.273,0.503
46,M,4,Doctorate,$120K +,36,3,3104,862,2242,1.057,2781,74,0.682,0.278
38,F,3,Unknown,Less than $40K,30,6,3730,2517,1213,0.853,858,22,0.467,0.675
43,F,3,High School,Less than $40K,36,3,9484,2451,7033,0.637,7242,95,0.508,0.258
40,F,2,Graduate,Unknown,27,4,4438,1513,2925,0.807,3895,75,0.829,0.341
45,F,1,Unknown,Less than $40K,32,4,6373,1562,4811,0.573,3483,82,0.64,0.245
43,F,5,High School,$40K - $60K,24,3,4430,2203,2227,1.046,2742,49,0.4,0.497
40,M,3,High School,Less than $40K,33,1,2420,191,2229,0.818,2478,43,0.433,0.079
45,M,4,College,$120K +,40,3,2900,1782,1118,1.351,4686,64,0.561,0.614
52,M,2,High School,$60K - $80K,42,1,7261,1443,5818,0.972,14533,108,0.565,0.199
53,M,5,Uneducated,$120K +,38,4,19138,0,19138,0.482,2028,43,0.303,0
