Age,Dependent,Months,Product, Limit,Balance,Open to buy,Amt change,Trans. Amt,Utilization 
46,2,38,4,11434,0,11434,0.84,4520,0
42,3,34,3,1640,1444,196,0.423,1360,0.88
42,4,35,3,2516,1360,1156,1.193,4692,0.541
50,3,32,5,4419,1218,3201,0.879,4535,0.276
44,2,29,6,2288,1505,783,0.788,4396,0.658
46,2,40,3,6083,1716,4367,0.618,4528,0.282
46,2,38,2,10309,0,10309,0.451,1760,0
56,2,36,4,13904,625,13279,0.673,3151,0.045
48,3,37,4,3305,2517,788,0.766,2027,0.762
46,4,42,4,13376,1633,11743,0.98,4515,0.122
45,4,33,2,3001,2055,946,0.838,4662,0.685
57,2,51,6,34516,1417,33099,0.966,4303,0.041
41,2,36,3,2238,0,2238,0.452,2063,0
56,1,36,6,5991,1993,3998,0.673,1867,0.333
49,2,40,4,13490,1672,11818,0.799,4205,0.124
40,1,31,3,15970,1212,14758,0.542,1260,0.076
57,2,36,5,4316,0,4316,0.363,1920,0
51,2,36,4,4970,1591,3379,0.738,5023,0.32
30,1,17,3,7906,1631,6275,0.889,1946,0.206
65,1,54,3,2888,1134,1754,1.479,2489,0.393
45,2,34,4,3024,1835,1189,0.793,14220,0.607
38,2,36,3,6452,1151,5301,0.884,4835,0.178
36,4,36,5,10216,1822,8394,0.778,2568,0.178
31,1,36,6,12359,0,12359,0.843,7528,0
43,3,36,4,5506,2129,3377,0.705,4024,0.387
33,3,23,1,6392,1429,4963,0.682,4069,0.224
60,1,46,6,5130,2048,3082,0.776,4601,0.399
47,5,35,4,4165,0,4165,0.813,17093,0
58,1,36,6,1438.3,0,1438.3,0.657,4722,0
47,3,27,5,14335,938,13397,0.445,3610,0.065
60,1,50,4,1438.3,1025,413.3,0.838,702,0.713
45,3,37,4,3304,0,3304,0.532,1731,0
39,2,31,5,8687,1146,7541,1.8,2279,0.132
52,1,35,3,13169,1499,11670,0.603,4370,0.114
49,4,38,3,34516,2517,31999,0.7,2376,0.073
50,2,42,3,1645,0,1645,0.771,3838,0
47,2,41,3,10614,784,9830,0.73,4601,0.074
47,4,30,5,17682,2481,15201,1.302,1747,0.14
51,4,43,6,3124,2517,607,0.635,4716,0.806
53,4,36,3,3924,2517,1407,0.511,1417,0.641
42,3,36,3,23981,1399,22582,0.712,14840,0.058
42,3,31,4,7802,1885,5917,0.643,4212,0.242
57,2,50,2,6462,0,6462,0.856,761,0
53,1,45,6,3380,1701,1679,0.747,1502,0.503
46,4,36,3,3104,862,2242,1.057,2781,0.278
38,3,30,6,3730,2517,1213,0.853,858,0.675
43,3,36,3,9484,2451,7033,0.637,7242,0.258
40,2,27,4,4438,1513,2925,0.807,3895,0.341
45,1,32,4,6373,1562,4811,0.573,3483,0.245
43,5,24,3,4430,2203,2227,1.046,2742,0.497
40,3,33,1,2420,191,2229,0.818,2478,0.079
45,4,40,3,2900,1782,1118,1.351,4686,0.614
52,2,42,1,7261,1443,5818,0.972,14533,0.199
53,5,38,4,19138,0,19138,0.482,2028,0
48,3,37,3,34516,0,34516,0.448,1122,0
54,3,41,3,2488,2196,292,0.733,4361,0.883
46,1,28,4,9880,1792,8088,0.804,4609,0.181
38,3,25,3,18293,0,18293,0.571,2958,0
45,4,33,3,31458,1202,30256,0.673,4202,0.038
42,2,28,3,1711,0,1711,0.983,4496,0
